,astA_AB_MRM1
1115,43.00000381
1116,43.00000381
1117,43.00000381
1118,43.02000427
1119,43.00000381
1120,42.92000198
1121,42.94000244
1122,42.92000198
1123,42.92000198
1124,42.86000443
1125,42.88000488
1126,42.88000488
1127,42.90000153
1128,43.04000473
1129,43.04000473
1130,43.02000427
1131,43.06000137
1132,43.00000381
1133,42.98000336
1134,42.94000244
1135,42.98000336
1136,43.00000381
1137,42.88000488
1138,42.88000488
1139,42.90000153
1140,43.04000473
1141,43.10000229
1142,43.16000366
1143,43.18000412
1144,43.18000412
1145,43.18000412
1146,43.20000458
1147,43.22000122
1148,43.24000168
1149,43.10000229
1150,43.06000137
1151,43.06000137
1152,43.06000137
1153,43.08000183
1154,43.02000427
1155,43.08000183
1156,43.08000183
1157,43.04000473
1158,43.10000229
1159,43.20000458
1160,43.26000214
1161,43.26000214
1162,43.26000214
1163,43.26000214
1164,43.18000412
1165,43.22000122
1166,43.26000214
1167,43.22000122
1168,43.26000214
1169,43.24000168
1170,43.32000351
1171,43.36000443
1172,43.40000153
1173,43.38000488
1174,43.40000153
1175,43.42000198
1176,43.44000244
1177,43.4600029
1178,43.58000183
1179,43.6400032
1180,43.6400032
1181,43.68000412
1182,43.70000458
1183,43.6400032
1184,43.62000275
1185,43.6400032
1186,43.56000137
1187,43.50000381
1188,43.42000198
1189,43.44000244
1190,43.42000198
1191,43.42000198
1192,43.36000443
1193,43.38000488
1194,43.34000397
1195,43.38000488
1196,43.44000244
1197,43.44000244
1198,43.48000336
1199,43.4600029
1200,43.48000336
1201,43.4600029
1202,43.38000488
1203,43.34000397
1204,43.32000351
1205,43.26000214
1206,43.26000214
1207,43.20000458
1208,43.20000458
1209,43.28000259
1210,43.30000305
1211,43.38000488
1212,43.40000153
1213,43.44000244
1214,43.54000473
1215,43.54000473
1216,43.54000473
1217,43.68000412
1218,43.54000473
1219,43.60000229
1220,43.60000229
1221,43.60000229
1222,43.52000427
1223,43.44000244
1224,43.4600029
1225,43.38000488
1226,43.28000259
1227,43.30000305
1228,43.28000259
1229,43.22000122
1230,43.24000168
1231,43.30000305
1232,43.30000305
1233,43.28000259
1234,43.34000397
1235,43.34000397
1236,43.38000488
1237,43.40000153
1238,43.48000336
1239,43.52000427
1240,43.60000229
1241,43.68000412
1242,43.74000168
1243,43.74000168
1244,43.76000214
1245,43.84000397
1246,43.90000153
1247,43.94000244
1248,44.00000381
1249,44.10000229
1250,44.06000137
1251,44.06000137
1252,44.04000473
1253,43.94000244
1254,43.84000397
1255,43.74000168
1256,43.66000366
1257,43.52000427
1258,43.42000198
1259,43.50000381
1260,43.54000473
1261,43.60000229
1262,43.68000412
1263,43.70000458
1264,43.76000214
1265,43.86000443
1266,43.9600029
1267,43.98000336
1268,43.94000244
1269,43.90000153
1270,43.98000336
1271,44.00000381
1272,44.00000381
1273,44.06000137
1274,43.98000336
1275,43.98000336
1276,44.00000381
1277,43.94000244
1278,44.00000381
1279,43.86000443
1280,43.82000351
1281,43.76000214
1282,43.62000275
1283,43.58000183
1284,43.50000381
1285,43.48000336
1286,43.50000381
1287,43.52000427
1288,43.52000427
1289,43.58000183
1290,43.68000412
1291,43.86000443
1292,44.02000427
1293,44.06000137
1294,44.00000381
1295,43.9600029
1296,43.92000198
1297,43.94000244
1298,43.88000488
1299,43.92000198
1300,43.86000443
1301,43.78000259
1302,43.86000443
1303,43.94000244
1304,43.90000153
1305,43.80000305
1306,43.80000305
1307,43.76000214
1308,43.68000412
1309,43.68000412
1310,43.74000168
1311,43.72000122
1312,43.70000458
1313,43.82000351
1314,43.84000397
1315,43.76000214
1316,43.74000168
1317,43.62000275
1318,43.54000473
1319,43.62000275
1320,43.66000366
1321,43.58000183
1322,43.52000427
1323,43.54000473
1324,43.56000137
1325,43.62000275
1326,43.70000458
1327,43.78000259
1328,43.72000122
1329,43.82000351
1330,43.92000198
1331,43.9600029
1332,43.90000153
1333,43.82000351
1334,43.72000122
1335,43.60000229
1336,43.4600029
1337,43.36000443
1338,43.22000122
1339,43.26000214
1340,43.24000168
1341,43.26000214
1342,43.30000305
1343,43.32000351
1344,43.40000153
1345,43.42000198
1346,43.48000336
1347,43.50000381
1348,43.42000198
1349,43.48000336
1350,43.44000244
1351,43.4600029
1352,43.40000153
1353,43.36000443
1354,43.32000351
1355,43.38000488
1356,43.42000198
1357,43.52000427
1358,43.52000427
1359,43.52000427
1360,43.48000336
1361,43.50000381
1362,43.50000381
1363,43.48000336
